ID,Area,Feature,User Story,Expected Behavior,Source Evidence,Implementation Status,Test Status,Last Tested,Errors Found,Fix Status,Retest Status,Notes
FEAT-001,Core page,Static job board loads,"As an endpoint engineer, I want the site to open directly to current endpoint job listings so I can start searching immediately.","Home imports src/data/jobs.json, removes stale jobs, renders command panel and results without requiring a runtime API call.",src/app/page.tsx; src/components/job-board.tsx; src/lib/jobs.ts; src/data/jobs.json,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-002,Navigation,Topbar brand/home link,"As a visitor, I want a clear brand link back to the job board home so I can recover from filtered URLs.",Topbar shows Endpoint Jobs brand with icon and links to /.,src/components/job-board/topbar.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-003,Navigation,Refresh timestamp,"As a visitor, I want to know when the feed was refreshed so I can judge listing freshness.","Topbar and footer format feed.updatedAt, or show Pending refresh for invalid dates.",src/components/job-board/topbar.tsx; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-004,Hero,Niche positioning and tracked count,"As an endpoint specialist, I want the page copy and count to confirm this board is scoped to endpoint/client-platform work.","Hero copy names macOS, Windows, MDM, UEM, endpoint security, packaging, and automation; tracked-role count uses active non-stale jobs.",src/components/job-board/controls.tsx; src/components/job-board.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-005,Search,Keyword search,"As a job seeker, I want to search terms like Jamf or Intune so only relevant matching jobs remain.","Search filters title, company, location, summary, description, seniority, employment type, tags, tools, and platforms case-insensitively.",src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-006,Search,Slash keyboard shortcut,"As a keyboard user, I want / to focus the search input when I am not already typing.","Pressing / focuses the search box unless focus is in an input, textarea, select, contenteditable element, or modifier key is held.",src/components/job-board/use-search-focus-shortcut.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,Browser audit: Slash keyboard shortcut focuses search input in the browser
FEAT-007,Search,Search term highlighting,"As a job seeker, I want matching text highlighted in results so I can see why a job matched.","Query fragments of length 2+ are highlighted in job title, company, and summary without regex injection.",src/components/job-board/job-card.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,Browser audit: Search result highlighting renders visible mark elements
FEAT-008,Location,Free-text location search,"As a job seeker, I want to search city, state, country, or remote text so I can narrow jobs geographically.",Location query filters normalized job.location plus workplace text; blank query disables this filter.,src/components/job-board/location-filters.tsx; src/components/job-board/filter-model.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-009,Location,Workplace type filter,"As a job seeker, I want separate Remote/Hybrid/On-site filtering so workplace preference is not mixed with text search.","Workplace select supports Any, Remote, Hybrid, On-site and requires exact job.workplace match except Any.",src/components/job-board/location-filters.tsx; src/components/job-board/filter-model.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-010,Compensation,Salary shown filter,"As a job seeker, I want to show only listings with pay data so I can prioritize transparent roles.",Salary toggle keeps only jobs with salary.min or salary.max; active filter chip appears and can clear it.,src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/components/job-board/active-filters.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-011,Role filters,Role family filter,"As a job seeker, I want to filter by role family so I can focus on endpoint engineering, security, automation, or platform roles.","Role select filters exact RoleFamily values, with All endpoint roles disabling the filter.",src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-012,Freshness,Posted-age filter,"As a job seeker, I want to filter by recent postings so I can prioritize fresh jobs.","Freshness supports Any active listing, Last 7 days, Last 14 days, and Last 30 days using postedAt age.",src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-013,Platform filters,Platform multi-select,"As a job seeker, I want to filter by macOS, Windows, iOS, Android, or Linux so I can focus on my platform.",Each platform button toggles aria-pressed and jobs match when any selected platform is included.,src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-014,Advanced filters,Desktop filter stack,"As a desktop user, I want advanced filters visible in the hero so I can refine without hunting.","Desktop filter stack shows seniority, sort, tools, and clear button when filters are active.",src/components/job-board/controls.tsx; src/app/job-board-filters.css; src/app/job-board-responsive.css,Implemented from code,Passed,2026-06-22,,None needed,Passed,Browser audit: Desktop filter stack is visible and mobile stack is hidden on desktop viewport
FEAT-015,Advanced filters,Mobile collapsible filter stack,"As a mobile user, I want advanced filters collapsed behind More filters so the first viewport stays usable.",Mobile uses a details/summary More filters section with active-filter count; desktop version is hidden at mobile breakpoints.,src/components/job-board/controls.tsx; src/app/job-board-responsive.css,Implemented from code,Passed,2026-06-22,,None needed,Passed,Browser audit: Mobile filter stack is collapsed behind More filters and expands on tap
FEAT-016,Seniority,Seniority filter,"As a job seeker, I want to filter by level so seniority expectations match my target.","Seniority select supports All, Associate, Mid, Senior, Staff, Lead, Manager and filters exact job.seniority.",src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-017,Sorting,Sort newest / compensation / company,"As a job seeker, I want to sort listings by freshness, pay, or company so I can scan in my preferred order.","Newest sorts postedAt descending, compensation sorts salary max/min descending, company sorts company name ascending.",src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-018,Tool filters,Endpoint tool multi-select,"As a job seeker, I want to filter for Jamf, Intune, SCCM, Fleet, Kandji, NinjaOne, and related tools so I can target my stack.",Each tool button toggles aria-pressed and jobs match when any selected tool is included.,src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-019,Filter state,Active filter chips,"As a user, I want to see and remove active filters individually so I understand why results changed.",Every non-default filter creates a removable chip; Clear all restores initial filter state.,src/components/job-board/active-filters.ts; src/components/job-board/controls.tsx; src/components/job-board/filter-model.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-020,Filter state,URL-synced filters,"As a user, I want filter state in the URL so I can share or reload a filtered search.","Current filters serialize into q, location, platforms, tools, workplace, salary, seniority, family, freshness, and sort query params; legacy locations and remote params are cleaned on update.",src/components/job-board/use-url-synced-filters.ts; src/components/job-board/filter-url.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-021,Filter state,Browser history synchronization,"As a browser user, I want back/forward navigation to restore filter state.","Filter store listens to popstate and custom filter-change events, using useSyncExternalStore snapshots.",src/components/job-board/use-url-synced-filters.ts,Implemented from code,Passed,2026-06-22,,None needed,Passed,Browser audit: Browser back navigation restores URL-derived filter state
FEAT-022,Results,Results heading and count,"As a job seeker, I want the results count to update with filters so I know search scope.",Results panel shows animated total endpoint opportunities and Daily refresh note.,src/components/job-board/results-panel.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-023,Results,Pagination,"As a job seeker, I want long result sets paginated so the page stays usable.","20 jobs per page, top and bottom pagination, disabled prev/next at bounds, page buttons with ellipses, and page changes scroll results into view respecting reduced motion.",src/components/job-board.tsx; src/components/job-board/pagination-controls.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,
FEAT-024,Results,Empty state reset,"As a user, I want a clear empty state when filters return no jobs so I can recover quickly.","When no jobs match, panel shows No matching roles, guidance, and Reset filters button.",src/components/job-board/results-panel.tsx,Implemented from code,Passed,2026-06-22,,None needed,Passed,
